"lv","asg","card","amount","sentence","type0","type2","formula_order","story","type"
3,2,5,3,"男の子 が 3 にん きました","r0","increase","1","decrease",""
3,2,6,0,"女の子 が ? にん います","e0","existence","3","decrease",""
3,3,1,0,"青いカード を ? まい もっています","e1","existence","3","decrease","e1"
3,3,2,2,"青いカード を 2 まい あげました","r1","decrease","2","decrease","r"
3,3,3,5,"青いカード を 5 まい もっています","e1","existence","1","decrease","e2"
3,3,4,2,"青いカード を 2 まい もっています","e0","existence","2","decrease",""
3,3,5,5,"青いカード を 5 まい もらいました","r0","increase","1","decrease",""
3,3,6,0,"赤いカード を ? まい もっています","e0","existence","3","decrease",""
3,4,1,0,"きいろいくるま が ? だい います","e1","existence","3","decrease","e1"
3,4,2,2,"きいろいくるま が 2 だい でていきました","r1","decrease","2","decrease","r"
3,4,3,4,"きいろいくるま が 4 だい います","e1","existence","1","decrease","e2"
3,4,4,2,"きいろいくるま が 2 だい います","e0","existence","2","decrease",""
3,4,5,4,"きいろいくるま が 4 だい きました","r0","increase","1","decrease",""
3,4,6,0,"白いくるま が ? だい います","e0","existence","3","decrease",""
3,5,1,0,"子ども が ? にん います","e1","existence","3","decrease","e1"
3,5,2,4,"子ども が 4 にん かえりました","r1","decrease","2","decrease","r"
3,5,3,5,"子ども が 5 にん います","e1","existence","1","decrease","e2"
3,5,4,4,"子ども が 4 にん います","e0","existence","2","decrease",""
3,5,5,5,"子ども が 5 にん きました","r0","increase","1","decrease",""
3,5,6,0,"おとな が ? にん います","e0","existence","3","decrease",""
