,郡１,群２,観測値１,観測値２,群1_観測値1,群１観測値２,群２観測値１,群２観測値２,p値
234,0_1_0,0_1_1,3_1,3_2,5,3,0,0,1.0
235,0_1_0,0_1_1,3_2,3_3,3,1,0,0,1.0
236,0_1_0,0_1_1,3_3,3_4,1,3,0,0,1.0
237,0_1_0,0_1_1,3_4,3_5,3,2,0,0,1.0
238,0_1_1,1_0_0,1_1,1_2,17,20,8,16,0.4265529736566471
239,0_1_1,1_0_0,1_2,1_3,20,22,16,16,1.0
240,0_1_1,1_0_0,1_3,1_4,22,19,16,17,0.8153016002629874
241,0_1_1,1_0_0,1_4,1_5,19,21,17,18,1.0
242,0_1_1,1_0_0,1_5,2_1,21,12,18,19,0.2360444630329838
243,0_1_1,1_0_0,2_1,2_2,12,7,19,23,0.27040200855555474
244,0_1_1,1_0_0,2_2,2_3,7,11,23,16,0.2535421612983097
245,0_1_1,1_0_0,2_3,2_4,11,8,16,18,0.5694047602614417
246,0_1_1,1_0_0,2_4,2_5,8,9,18,15,0.7666368054108623
247,0_1_1,1_0_0,2_5,3_1,9,0,15,15,0.006922341911855544
248,0_1_1,1_0_0,3_1,3_2,0,0,15,31,1.0
249,0_1_1,1_0_0,3_2,3_3,0,0,31,34,1.0
250,0_1_1,1_0_0,3_3,3_4,0,0,34,33,1.0
251,0_1_1,1_0_0,3_4,3_5,0,0,33,33,1.0
252,1_0_0,1_0_1,1_1,1_2,8,16,0,2,1.0
253,1_0_0,1_0_1,1_2,1_3,16,16,2,0,0.4866310160427807
254,1_0_0,1_0_1,1_3,1_4,16,17,0,0,1.0
255,1_0_0,1_0_1,1_4,1_5,17,18,0,1,1.0
256,1_0_0,1_0_1,1_5,2_1,18,19,1,0,1.0
257,1_0_0,1_0_1,2_1,2_2,19,23,0,2,0.4978858350951374
258,1_0_0,1_0_1,2_2,2_3,23,16,2,0,0.5121951219512195
259,1_0_0,1_0_1,2_3,2_4,16,18,0,0,1.0
260,1_0_0,1_0_1,2_4,2_5,18,15,0,0,1.0
261,1_0_0,1_0_1,2_5,3_1,15,15,0,1,1.0
262,1_0_0,1_0_1,3_1,3_2,15,31,1,3,1.0
263,1_0_0,1_0_1,3_2,3_3,31,34,3,2,0.6690460739779365
264,1_0_0,1_0_1,3_3,3_4,34,33,2,2,1.0
265,1_0_0,1_0_1,3_4,3_5,33,33,2,2,1.0
