"lv","asg","card","amount","sentence","type0","type2","formula_order","story","type"
2,4,5,2,"きいろいくるま が 2 だい でていきました","r0","decrease","1","increase",""
2,4,6,6,"白いくるま が 6 だい います","e0","existence","3","increase",""
2,5,1,4,"子ども が 4 にん います","e1","existence","1","increase","e1"
2,5,2,0,"子ども が ? にん きました","r1","increase","2","increase","r"
2,5,3,9,"子ども が 9 にん います","e1","existence","3","increase","e2"
2,5,4,0,"子ども が ? にん います","e0","existence","2","increase",""
2,5,5,4,"子ども が 4 にん かえりました","r0","decrease","1","increase",""
2,5,6,9,"おとな が 9 にん います","e0","existence","3","increase",""
3,1,1,2,"赤い花 を 2 本 もっています","e1","existence","2","increase","e1"
3,1,2,0,"赤い花 を ? 本 もらいました","r1","increase","3","increase","r"
3,1,3,7,"赤い花 を 7 本 もっています","e1","existence","1","increase","e2"
3,1,4,0,"赤い花 を ? 本 もっています","e0","existence","3","increase",""
3,1,5,2,"赤い花 を 2 本 あげました","r0","decrease","2","increase",""
3,1,6,7,"白い花 を 7 本 もっています","e0","existence","1","increase",""
3,2,1,5,"男の子 が 5 にん います","e1","existence","2","increase","e1"
3,2,2,0,"男の子 が ? にん きました","r1","increase","3","increase","r"
3,2,3,8,"男の子 が 8 にん います","e1","existence","1","increase","e2"
3,2,4,0,"男の子 が ? にん います","e0","existence","3","increase",""
3,2,5,5,"男の子 が 5 にん かえりました","r0","decrease","2","increase",""
3,2,6,8,"女の子 が 8 にん います","e0","existence","1","increase",""
3,3,1,2,"青いカード を 2 まい もっています","e1","existence","2","increase","e1"
3,3,2,0,"青いカード を ? まい もらいました","r1","increase","3","increase","r"
3,3,3,7,"青いカード を 7 まい もっています","e1","existence","1","increase","e2"
3,3,4,0,"青いカード を ? まい もっています","e0","existence","3","increase",""
3,3,5,2,"青いカード を 2 まい あげました","r0","decrease","2","increase",""
3,3,6,7,"赤いカード を 7 まい もっています","e0","existence","1","increase",""
3,4,1,2,"きいろいくるま が 2 だい います","e1","existence","2","increase","e1"
3,4,2,0,"きいろいくるま が ? だい きました","r1","increase","3","increase","r"
3,4,3,6,"きいろいくるま が 6 だい います","e1","existence","1","increase","e2"
3,4,4,0,"きいろいくるま が ? だい います","e0","existence","3","increase",""
3,4,5,2,"きいろいくるま が 2 だい でていきました","r0","decrease","2","increase",""
3,4,6,6,"白いくるま が 6 だい います","e0","existence","1","increase",""
3,5,1,4,"子ども が 4 にん います","e1","existence","2","increase","e1"
3,5,2,0,"子ども が ? にん きました","r1","increase","3","increase","r"
3,5,3,9,"子ども が 9 にん います","e1","existence","1","increase","e2"
3,5,4,0,"子ども が ? にん います","e0","existence","3","increase",""
3,5,5,4,"子ども が 4 にん かえりました","r0","decrease","2","increase",""
3,5,6,9,"おとな が 9 にん います","e0","existence","1","increase",""
